上海电信,#genre#
黑龙江卫视HD,http://124.79.52.158:4022/udp/239.45.3.232:5140#http://116.229.55.128:4022/udp/239.45.3.232:5140#http://101.83.128.184:4022/udp/239.45.3.232:5140
山东卫视HD,http://124.79.52.158:4022/udp/239.45.3.238:5140#http://116.229.55.128:4022/udp/239.45.3.238:5140#http://101.83.128.184:4022/udp/239.45.3.238:5140
湖北卫视HD,http://124.79.52.158:4022/udp/239.45.3.239:5140#http://116.229.55.128:4022/udp/239.45.3.239:5140#http://101.83.128.184:4022/udp/239.45.3.239:5140
云南卫视HD,http://124.79.52.158:4022/udp/239.45.0.4:5140#http://116.229.55.128:4022/udp/239.45.0.4:5140#http://101.83.128.184:4022/udp/239.45.0.4:5140
河北卫视HD,http://124.79.52.158:4022/udp/239.45.1.44:5140#http://116.229.55.128:4022/udp/239.45.1.44:5140#http://101.83.128.184:4022/udp/239.45.1.44:5140
广西卫视HD,http://124.79.52.158:4022/udp/239.45.0.5:5140#http://116.229.55.128:4022/udp/239.45.0.5:5140#http://101.83.128.184:4022/udp/239.45.0.5:5140
北京卫视HD,http://124.79.52.158:4022/udp/239.45.3.229:5140#http://116.229.55.128:4022/udp/239.45.3.229:5140#http://101.83.128.184:4022/udp/239.45.3.229:5140
广东卫视HD,http://124.79.52.158:4022/udp/239.45.3.230:5140#http://116.229.55.128:4022/udp/239.45.3.230:5140#http://101.83.128.184:4022/udp/239.45.3.230:5140
深圳卫视HD,http://124.79.52.158:4022/udp/239.45.3.231:5140#http://116.229.55.128:4022/udp/239.45.3.231:5140#http://101.83.128.184:4022/udp/239.45.3.231:5140
央视,#genre#
CCTV1,http://124.79.52.158:4022/udp/239.45.3.188:5140#http://116.229.55.128:4022/udp/239.45.3.188:5140#http://101.83.128.184:4022/udp/239.45.3.188:5140
CCTV2,http://124.79.52.158:4022/udp/239.45.3.189:5140#http://116.229.55.128:4022/udp/239.45.3.189:5140#http://101.83.128.184:4022/udp/239.45.3.189:5140
CCTV3,http://124.79.52.158:4022/udp/239.45.3.113:5140#http://116.229.55.128:4022/udp/239.45.3.113:5140#http://101.83.128.184:4022/udp/239.45.3.113:5140
CCTV3,http://124.79.52.158:4022/udp/239.45.3.27:5140#http://116.229.55.128:4022/udp/239.45.3.27:5140#http://101.83.128.184:4022/udp/239.45.3.27:5140
CCTV4,http://124.79.52.158:4022/udp/239.45.3.190:5140#http://116.229.55.128:4022/udp/239.45.3.190:5140#http://101.83.128.184:4022/udp/239.45.3.190:5140
CCTV5,http://124.79.52.158:4022/udp/239.45.3.114:5140#http://116.229.55.128:4022/udp/239.45.3.114:5140#http://101.83.128.184:4022/udp/239.45.3.114:5140
CCTV5,http://124.79.52.158:4022/udp/239.45.3.29:5140#http://116.229.55.128:4022/udp/239.45.3.29:5140#http://101.83.128.184:4022/udp/239.45.3.29:5140
CCTV6,http://124.79.52.158:4022/udp/239.45.3.115:5140#http://116.229.55.128:4022/udp/239.45.3.115:5140#http://101.83.128.184:4022/udp/239.45.3.115:5140
